uo_method,scaler_method,imbalance_ratio,classifier,sampler_seed,feat_col_list,precision_score_min,precision_score_max,precision_score_avg,precision_score_std,recall_score_min,recall_score_max,recall_score_avg,recall_score_std,f1_score_min,f1_score_max,f1_score_avg,f1_score_std,rocauc_min,rocauc_max,rocauc_avg,rocauc_std,prauc_min,prauc_max,prauc_avg,prauc_std,accuracy_min,accuracy_max,accuracy_avg,accuracy_std,n_thresholds_min,n_thresholds_max,SGDClassifier_eta0,SGDClassifier_fit_intercept,SGDClassifier_l1_ratio,SGDClassifier_learning_rate,SGDClassifier_loss,SGDClassifier_penalty,XGB_alpha,XGB_eta,XGB_eval_metric,XGB_lambda,XGB_max_depth,XGB_objective,XGB_scale_pos_weight,XGB_seed,RandomForestClassifier_bootstrap,RandomForestClassifier_class_weight,RandomForestClassifier_criterion,RandomForestClassifier_max_depth,RandomForestClassifier_min_samples_leaf,RandomForestClassifier_min_samples_split,RandomForestClassifier_n_estimators,SVC_C,SVC_kernel,SVC_max_iter,SVC_verbose,KNeighborsClassifier_metric,KNeighborsClassifier_n_neighbors,KNeighborsClassifier_weights,LogisticRegression_class_weight,LogisticRegression_l1_ratio,LogisticRegression_max_iter,LogisticRegression_penalty,LogisticRegression_solver,RidgeClassifier_alpha,SVC_degree
random_under_bootstrap,minmax,0.5,xgb,22477681,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.2068627450980392,0.2900125365649812,0.24746355339550719,0.02801191964518767,1.0,1.0,1.0,0.0,0.3428107229894395,0.4496274700356333,0.39593910872642135,0.03597565252142743,0.9774188017224911,0.9819264204009489,0.9792976070469791,0.0014656808171341143,0.61678610987159,0.6429632424836635,0.6335351966364569,0.010444848413815305,0.7404278074866311,0.8159662045060658,0.7756815781957836,0.02532337324280232,9151.0,9304.0,,,,,,,0,0.7,aucpr,3,56,binary:logistic,44,62754,,,,,,,,,,,,,,,,,,,,,
random_over,standard,0.1,knn,893685,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,13,distance,,,,,,,
random_under_bootstrap,minmax,0.1,nb,27823992,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.12029459901800327,0.21049493142516398,0.1760751313836396,0.03065368147859467,0.1564945226917058,0.5086455331412104,0.35844409466460775,0.14017675072583807,0.15849056603773584,0.2977646562631801,0.22770589506236708,0.0538520810686578,0.6993971033340637,0.7815748108304423,0.7415655742576032,0.027999418473915214,0.1120635334211342,0.20136129380968654,0.1569633680602937,0.02910136255462732,0.7997830802603036,0.896357328707719,0.8300657662264683,0.035342659776723316,9178.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,minmax,1.0,lr,9700957,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10939989378651088,0.15830235439900867,0.13066834116451664,0.015965642983443013,0.65086887835703,0.7363112391930836,0.6826198160762846,0.029116598195091107,0.18731529893157534,0.2605813360530342,0.21915765848582947,0.023913677793115044,0.6796449589151882,0.7674262476685009,0.7160301334112189,0.032044152464105274,0.11610392731955403,0.17116445223362342,0.1382708253718491,0.019857550369355364,0.6096822995461422,0.6858752166377816,0.6429309346239788,0.027578619683486367,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,20000,none,lbfgs,,
random_under_bootstrap,standard,1.0,ridge,11607876,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09164101349751362,0.13201228021211275,0.11513248188272589,0.015189928481611905,0.6113744075829384,0.6995305164319249,0.6577664500034942,0.030528898689033777,0.15939044481054365,0.22118307224690203,0.19576847199334588,0.023381148760582695,0.6241933241884853,0.7318861463611152,0.6727568519447967,0.042543353786071325,0.09873272528697566,0.14181791638417038,0.1202180385271389,0.01738827574245443,0.5566241625243138,0.6583911535125759,0.6018118441817282,0.04055057914201181,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.824864398566178,
random_under,standard,1.0,svm,19285429,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.1101027397260274,0.1523732470334412,0.12235704594266213,0.01568112895207133,0.6003159557661928,0.8980446927374302,0.8044860274967224,0.10656497532982157,0.194125159642401,0.25670149931849157,0.211578111876806,0.023892607079348066,0.691717134592553,0.7686999229753,0.727462144171173,0.027345007144208226,0.11906989539659395,0.16849753887150573,0.14657087012896994,0.017382989708811223,0.43051653339096607,0.6625668449197861,0.5565808612718317,0.08654672340647818,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,1.41,poly,25000,False,,,,,,,,,,3
random_under,minmax,0.1,sgd,4328945,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.0,0.13580246913580246,0.02754959888552625,0.0541316796308313,0.0,0.03442879499217527,0.0071739434364753996,0.013638847892858887,0.0,0.05493133583021223,0.011317392993857017,0.02181639678338605,0.3956772379731929,0.7199779991495754,0.5492798745457873,0.12893812978697383,0.0509553010866839,0.1033697317665351,0.081330345077754,0.02182496134681581,0.8691973969631236,0.9322994652406417,0.9128566868840927,0.022330211927625618,7343.0,9350.0,1.695321230166715,False,0.777301765205952,constant,huber,l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,standard,0.5,lr,31869200,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10937085213697903,0.1583178726035869,0.13071193573909298,0.01597225071554337,0.65086887835703,0.7377521613832853,0.683475514561304,0.029430486069056024,0.18727272727272729,0.26069246435845217,0.21926597344788132,0.023950090015558614,0.6794833416432092,0.7671374894268241,0.7158247815988472,0.03200746837126601,0.11604004580996824,0.17101917080521167,0.13816759982221746,0.01982080956555624,0.6093581154095526,0.6854419410745234,0.6427146589549848,0.02755125405209882,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balanced,,20000,l2,saga,,
random_under_bootstrap,minmax,0.8,lr,10913770,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09787735849056604,0.19180633147113593,0.14064879688944637,0.030470727807810828,0.26224328593996843,0.6525821596244131,0.466267296380276,0.1404515330118345,0.14255045083726922,0.28993666432090076,0.21492426349238053,0.04865744024051212,0.6279957034075342,0.7701359509580158,0.6976351480828609,0.05061060957017815,0.09824119282169172,0.1761188669796997,0.13244913325038998,0.025955879710098936,0.7110797918473547,0.7864171122994652,0.7563702367155815,0.027617701020121597,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,l2,lbfgs,,
random_under,minmax,0.7,xgb,1944990,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.15465428780845344,0.2198289515362686,0.18163583793406263,0.02470613427157204,1.0,1.0,1.0,0.0,0.267879813796022,0.36042586341210076,0.30669728017566067,0.03510293030969456,0.9694021742432374,0.9771162702136096,0.9732751623614405,0.0026375181154859114,0.585654838516667,0.6502396194602347,0.6118321707645636,0.02280771048836122,0.6299465240641712,0.7332105719237435,0.6660585766135952,0.04234379018647326,9196.0,9333.0,,,,,,,1.5,0.1,aucpr,0.5,49,binary:logistic,81,30330,,,,,,,,,,,,,,,,,,,,,
adasyn,standard,0.7,rf,14077596,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.4785100286532951,0.5377932232841007,0.5087648499483572,0.020205584456139354,0.962536023054755,0.9859154929577465,0.9739343511944277,0.007884163279577019,0.6392344497607656,0.6939461883408071,0.6681776582537872,0.018349933092156358,0.9919805878854526,0.9951241975830851,0.9935067335769385,0.00122104056074302,0.9464239527101472,0.9628608984114081,0.9531909597638007,0.006092060321995995,0.9183275563258232,0.9416042780748664,0.9291595564651391,0.007819629178382498,7446.0,7764.0,,,,,,,,,,,,,,,False,balanced,gini,258,9,2,62,,,,,,,,,,,,,,
random_over,standard,1.0,rf,19599061,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.6967871485943775,0.83841059602649,0.7646149908484512,0.056143650831049594,0.9986033519553073,1.0,0.9997206703910614,0.0005586592178770999,0.821301775147929,0.9121037463976945,0.8653448314729282,0.03614641209528047,0.9996898789327915,0.999960854396296,0.9998453737380022,9.39909404766166e-05,0.9966401371521101,0.9994739290589179,0.9982226516084637,0.0009831003321801284,0.9672876949740035,0.986951871657754,0.9768071451874116,0.007769229261017654,4372.0,5378.0,,,,,,,,,,,,,,,False,balanced,gini,133,9,9,47,,,,,,,,,,,,,,
adasyn,standard,0.5,lr,17451799,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10980392156862745,0.1911504424778761,0.1543353131941503,0.0261922583192438,0.0782122905027933,0.15561959654178675,0.12296755681723175,0.02861901257161718,0.09135399673735725,0.1715647339158062,0.13652644982252699,0.027543256311570424,0.6523739905735211,0.7345393673173599,0.6851556056370651,0.031263024365791404,0.10475196808294718,0.15368618526764397,0.12442618589162127,0.01690284884463072,0.8772234273318872,0.8993582887700535,0.8872876186780327,0.008257982181649226,9220.0,9350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,none,saga,,
adasyn,minmax,1.0,nb,19490379,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.09326683291770574,0.12129432280565781,0.10799880549342104,0.009235665987142093,0.8794992175273866,0.9178674351585014,0.8998095378303672,0.014913649423950454,0.16877256317689532,0.21383432963279245,0.19273787815435064,0.01492201077380047,0.6907174718609259,0.7726111542026391,0.7334464550028557,0.028070356320519203,0.10890199001065125,0.19420218620510007,0.1523022784604143,0.027950749773163152,0.40512210935811543,0.5014081455805892,0.44805090774456335,0.03708379883895149,9181.0,9337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_under_bootstrap,minmax,0.5,svm,10667405,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.18979057591623036,0.24705882352941178,0.22592181594763644,0.02108894406218979,0.22906793048973143,0.5720461095100865,0.3706680168143192,0.15174128505078607,0.20758768790264853,0.3419465977605513,0.2718291281572991,0.0522070985347355,0.7413109898926413,0.817618201861419,0.7729910951394381,0.03022038012667786,0.15050155999543063,0.23813366119628646,0.1948060655398033,0.029820735350657355,0.8319956616052061,0.8854549384050141,0.8626410729743746,0.024089310895456927,9212.0,9350.0,,,,,,,,,,,,,,,,,,,,,,2.75,rbf,25000,False,,,,,,,,,,
random_over,standard,0.8,rf,24298594,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,46.0,,,,,,,,,,,,,,,False,balanced_subsample,gini,49,1,3,66,,,,,,,,,,,,,,
adasyn,standard,0.5,nb,26764269,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.10197628458498023,0.13839069316529326,0.11780974310706223,0.012068049123147429,0.8151658767772512,0.8729050279329609,0.8419013190766458,0.022873038849456195,0.18127525030739505,0.23692946058091285,0.20644441414910442,0.018373562633553445,0.6932963697345765,0.7790099929590919,0.7367589500548463,0.0296343644659591,0.10958618261145488,0.20068219241117066,0.15541340359505634,0.03009214811104349,0.45958504430516534,0.6016031195840554,0.5245076435913855,0.04675194794068327,9184.0,9336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adasyn,minmax,0.3,knn,14142263,"['smcdc__kurtosis', 'smcac__kurtosis', 'vib_spindle__kurtosis', 'vib_table__kurtosis', 'ae_table__kurtosis']",0.3769808173477898,0.4251207729468599,0.4040208267782468,0.019824995332969424,0.6145251396648045,0.7449139280125195,0.6971205691341191,0.04374769010871824,0.49344978165938863,0.5259219668626403,0.5102759749198758,0.012448982111622825,0.917566439748165,0.9349174188338469,0.929477475976651,0.006300119203485226,0.48303264918513755,0.5682593065138584,0.5304425449165573,0.0321316319175984,0.8992844752818734,0.9058785390101578,0.9026824557808357,0.00235735248498583,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,minkowski,10,uniform,,,,,,,
